得意先所属コード,得意先ユーザーコード,得意先親子区分,取引年月日,車番,給油所区分,高速区分,給油先会社コード,給油先ＳＳコード,給油所名,商品コード,商品名,数量,単価,商品代,参考消費税,軽油税,伝票番号,行番号
104,23991,000,20250516,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,278.00,91.30,25381,2538,8924,2988,8,
104,23991,000,20250520,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,120.61,91.30,11012,1101,3872,4179,9,
104,23991,000,20250520,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,174.39,91.30,15922,1592,5598,4179,9,
104,23991,000,20250523,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,110.03,91.30,10046,1005,3532,5138,8,
104,23991,000,20250523,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,167.97,91.30,15336,1534,5392,5138,8,
104,23991,000,20250527,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,114.34,91.30,10439,1044,3670,6425,5,
104,23991,000,20250527,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,155.66,91.30,14212,1421,4997,6425,5,
104,23991,000,20250530,7717,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,272.00,91.30,24834,2483,8731,7441,1,
104,23991,000,20250504,8111,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,201.00,90.30,18150,1815,6452,0158,8,
104,23991,000,20250507,8111,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,201.00,90.30,18150,1815,6452,1731,1,
104,23991,000,20250510,8111,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,192.00,90.30,17338,1734,6163,3347,7,
104,23991,000,20250514,8111,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,211.00,90.30,19053,1905,6773,0381,1,
104,23991,000,20250517,8111,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,198.00,90.30,17879,1788,6356,2196,6,
104,23991,000,20250521,8111,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,207.00,90.30,18692,1869,6645,4321,1,
104,23991,000,20250526,8111,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,264.00,90.30,23839,2384,8474,2311,1,
104,23991,000,20250529,8111,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,207.00,90.30,18692,1869,6645,3713,3,
